Paper MM | v2: OBI + continuous skew + dynamic spread
  2 markets | 2 contracts | 10s interval
  [13:20:50] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=17c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:20:55] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:21:01] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=16c sprd=7 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:21:06] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:21:12] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=16c sprd=7 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:21:17] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:21:22] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=16c sprd=7 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:21:28] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:21:33] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=16c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:21:39] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:21:44] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=16c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:21:50] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:21:55] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=16c sprd=9 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:22:01] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:22:06] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=16c sprd=9 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:22:11] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:22:17] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=16c sprd=9 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:22:22] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:22:28] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=7 q_yes=- q_no=156 inv=2 pnl=-0.6c
  [13:22:33] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:22:39] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=7 q_yes=- q_no=156 inv=2 pnl=-0.6c
  [13:22:44] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:22:49] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=7 q_yes=- q_no=156 inv=2 pnl=-0.6c
  [13:22:55] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:23:00] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=15c sprd=6 q_yes=- q_no=156 inv=2 pnl=-0.6c
  [13:23:06] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:23:11] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=15c sprd=6 q_yes=- q_no=156 inv=2 pnl=-0.6c
  [13:23:16] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:23:22] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=6 q_yes=- q_no=156 inv=2 pnl=-0.6c
  [13:23:27] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:23:33] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=6 q_yes=- q_no=156 inv=2 pnl=-0.6c
  [13:23:39] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:23:44] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=17c sprd=12 q_yes=- q_no=13 inv=2 pnl=-0.6c
  [13:23:50] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:23:55] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=17c sprd=12 q_yes=- q_no=13 inv=2 pnl=-0.6c
  [13:24:01] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:24:06] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=15c sprd=6 q_yes=- q_no=155 inv=2 pnl=-0.6c
  [13:24:11] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:24:17] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=5 q_yes=- q_no=155 inv=2 pnl=-0.6c
  [13:24:22] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
    TRADES KXLOLTOTALMAPS-26MAR19LYGEN-4: 2 new, vol=16 mode=PRE
  [13:24:28] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=5 q_yes=- q_no=155 inv=2 pnl=-0.6c
  [13:24:33] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:24:39] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=5 q_yes=- q_no=155 inv=2 pnl=-0.6c
  [13:24:44] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:24:50] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=5 q_yes=- q_no=155 inv=2 pnl=-0.6c
  [13:24:55] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:25:01] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=5 q_yes=- q_no=155 inv=2 pnl=-0.6c
  [13:25:06] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:25:12] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=5 q_yes=- q_no=155 inv=2 pnl=-0.6c
  [13:25:17] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:25:22] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=5 q_yes=- q_no=155 inv=2 pnl=-0.6c
  [13:25:28] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:25:33] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=5 q_yes=- q_no=155 inv=2 pnl=-0.6c
  [13:25:39] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:25:45] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=14c sprd=5 q_yes=- q_no=155 inv=2 pnl=-0.6c
  [13:25:50] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
